,test,fname,workload,bpk,Z,ZD,N,fpr_monkey,fpr_binarysearch,fpr_scan,t_monkey,t_binarysearch,t_scan,zeroes
116,test10,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.5,0,1,0.04789380000000001,0.0478937,0.04789380000000001,0.104031,8.31551e-05,7.12981e-05,0.0
117,test10,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.5,0,1,0.0296224,0.0296224,0.0296224,0.0975122,7.7638e-05,6.89973e-05,0.0
118,test10,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.5,0,1,0.0183215,0.0183215,0.0183215,0.0933679,7.82389e-05,6.898640000000001e-05,0.0
119,test10,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.5,0,1,0.0113319,0.0113319,0.0113319,0.0897245,7.42861e-05,6.781220000000001e-05,0.0
120,test10,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.5,3,1,0.24088800000000002,0.24088800000000002,0.24088800000000002,0.07005019999999999,8.03961e-05,8.822030000000001e-05,17.0
121,test10,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.5,3,1,0.148135,0.148135,0.148135,0.0843457,7.93774e-05,7.08928e-05,1.0
122,test10,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.5,3,1,0.0916218,0.0916218,0.0916218,0.077973,7.71075e-05,7.10357e-05,1.0
123,test10,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.5,3,1,0.0566682,0.0566682,0.0566682,0.08153189999999999,7.74018e-05,6.87929e-05,1.0
124,test10,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.5,3,1,0.0350494,0.0350494,0.0350494,0.0872444,7.74879e-05,6.57686e-05,0.0
125,test10,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.5,3,1,0.0216781,0.0216781,0.0216781,0.0813357,7.8728e-05,6.70695e-05,0.0
126,test10,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.5,3,1,0.013408000000000002,0.013408000000000002,0.013408000000000002,0.0907472,8.20737e-05,7.11881e-05,0.0
127,test10,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.5,3,1,0.00829287,0.00829286,0.00829287,0.08580299999999999,7.94059e-05,6.7567e-05,0.0
128,test10,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.75,0,1,0.438064,0.438064,0.438064,0.08719650000000001,8.30507e-05,7.14773e-05,0.0
129,test10,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.75,0,1,0.270944,0.270944,0.270944,0.0926007,8.14417e-05,7.17921e-05,0.0
130,test10,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.75,0,1,0.167579,0.167579,0.167579,0.09845119999999999,8.16353e-05,7.1378e-05,0.0
